transaction_id,transaction_amount,transaction_time,merchant_category,customer_age,customer_location,device_type,card_type,transaction_type,previous_fraud_count,avg_transaction_amount,account_age_days,num_transactions_24h,num_transactions_7d,is_international,is_weekend,risk_score,fraud
1,46.93,17266.0,,48.0,city_C,tablet,credit,offline,1.0,90.96,3342.0,2.0,14.0,1.0,0.0,0.816,0
2,301.01,86328.0,electronics,58.0,city_A,tablet,debit,offline,0.0,126.38,3157.0,4.0,20.0,0.0,1.0,0.173,0
3,131.67,85988.0,grocery,24.0,city_A,desktop,debit,online,,187.89,1163.0,4.0,14.0,0.0,0.0,0.378,0
4,91.29,43526.0,travel,40.0,city_A,mobile,credit,offline,0.0,84.32,3150.0,4.0,,0.0,0.0,0.847,0
5,16.96,11889.0,food,41.0,city_C,tablet,credit,,1.0,138.83,1808.0,3.0,15.0,0.0,,0.799,0
6,16.96,24335.0,,22.0,city_D,desktop,debit,,0.0,61.8,3117.0,1.0,15.0,0.0,0.0,0.966,0
7,5.98,11254.0,,22.0,city_B,mobile,credit,online,0.0,165.84,1126.0,2.0,25.0,,0.0,0.222,0
8,201.12,11442.0,travel,34.0,city_A,desktop,credit,,0.0,87.41,2961.0,5.0,22.0,0.0,,0.539,0
9,91.91,46289.0,electronics,47.0,city_D,mobile,credit,online,0.0,150.94,231.0,0.0,11.0,0.0,1.0,0.018,0
10,369.39,53747.0,grocery,26.0,city_B,tablet,credit,online,0.0,153.52,,5.0,15.0,1.0,0.0,0.927,1
11,2.08,37327.0,food,23.0,city_A,tablet,credit,online,0.0,29.2,1702.0,1.0,16.0,0.0,,0.175,0
12,350.36,16199.0,grocery,42.0,city_B,desktop,credit,online,0.0,130.47,1086.0,3.0,17.0,0.0,1.0,0.905,0
13,178.64,72827.0,,36.0,city_B,,credit,offline,1.0,94.72,,6.0,15.0,0.0,1.0,0.678,0
14,23.87,,fashion,,city_D,tablet,credit,online,0.0,144.93,3304.0,2.0,7.0,0.0,0.0,0.937,0
15,20.07,19581.0,grocery,38.0,city_B,mobile,credit,offline,1.0,76.3,2628.0,3.0,12.0,0.0,0.0,0.248,0
16,20.26,59722.0,travel,19.0,city_A,tablet,debit,online,2.0,90.93,655.0,2.0,13.0,0.0,0.0,0.345,0
17,36.28,,electronics,27.0,city_D,mobile,debit,online,0.0,179.92,,,16.0,1.0,1.0,0.164,0
18,74.39,66960.0,travel,33.0,city_C,mobile,debit,offline,,176.05,1908.0,,19.0,1.0,0.0,0.422,0
19,,19552.0,electronics,54.0,city_C,desktop,credit,online,0.0,70.29,1974.0,2.0,13.0,0.0,0.0,0.947,0
20,,10808.0,grocery,32.0,city_D,mobile,credit,online,0.0,209.82,2959.0,3.0,15.0,1.0,0.0,0.571,0
21,94.64,72525.0,grocery,30.0,city_C,tablet,credit,online,0.0,-9.1,2797.0,,15.0,0.0,0.0,0.416,0
22,15.02,23620.0,electronics,30.0,city_B,mobile,debit,online,0.0,130.73,3413.0,4.0,16.0,0.0,0.0,0.325,0
23,34.55,887.0,fashion,49.0,city_A,mobile,debit,online,0.0,55.78,3021.0,3.0,12.0,0.0,0.0,0.585,0
24,45.63,31802.0,food,62.0,city_B,desktop,credit,online,0.0,138.57,3570.0,2.0,,0.0,1.0,0.723,0
25,60.89,,travel,64.0,,tablet,debit,online,1.0,106.92,423.0,6.0,17.0,0.0,0.0,0.407,0
26,153.79,81938.0,travel,63.0,city_A,tablet,debit,offline,0.0,69.12,2886.0,3.0,13.0,0.0,0.0,0.231,0
27,22.27,26049.0,travel,25.0,city_D,tablet,credit,online,1.0,83.13,2949.0,3.0,23.0,0.0,0.0,0.585,0
28,72.2,77789.0,grocery,60.0,city_D,mobile,credit,offline,0.0,80.67,3312.0,1.0,18.0,0.0,0.0,0.366,0
29,89.75,84526.0,travel,35.0,city_D,tablet,debit,offline,0.0,123.82,2944.0,4.0,10.0,0.0,0.0,0.994,0
30,4.76,7846.0,food,53.0,city_B,tablet,credit,offline,0.0,168.74,2648.0,3.0,16.0,0.0,0.0,0.441,0
31,93.53,,food,43.0,city_A,mobile,debit,offline,0.0,217.94,3257.0,3.0,18.0,0.0,1.0,,0
32,18.7,46163.0,electronics,27.0,city_A,,debit,offline,0.0,111.46,2711.0,2.0,17.0,0.0,0.0,0.839,0
33,6.73,3765.0,grocery,48.0,city_A,desktop,debit,offline,0.0,134.94,661.0,1.0,12.0,0.0,0.0,0.251,0
34,297.37,81486.0,food,50.0,city_B,mobile,credit,offline,0.0,179.31,2886.0,5.0,6.0,0.0,1.0,0.066,0
35,337.06,45270.0,fashion,,city_C,desktop,debit,online,1.0,97.55,351.0,4.0,9.0,1.0,0.0,0.854,0
36,165.23,75277.0,grocery,22.0,,desktop,debit,online,1.0,80.85,3536.0,5.0,16.0,0.0,0.0,0.589,0
37,36.33,22931.0,grocery,30.0,city_B,desktop,credit,online,0.0,217.42,603.0,1.0,15.0,0.0,0.0,0.26,0
38,10.28,55633.0,food,18.0,city_D,tablet,credit,offline,1.0,111.01,1723.0,3.0,13.0,0.0,1.0,0.343,0
39,115.28,80702.0,fashion,40.0,city_A,desktop,debit,online,0.0,,1093.0,0.0,14.0,,0.0,0.426,0
40,58.01,51913.0,electronics,57.0,city_A,tablet,credit,offline,0.0,39.81,3141.0,8.0,17.0,0.0,1.0,0.68,0
41,,25991.0,food,20.0,city_C,desktop,credit,offline,0.0,93.81,1506.0,2.0,17.0,0.0,0.0,0.468,0
42,68.35,54845.0,fashion,20.0,,tablet,debit,online,0.0,214.36,2947.0,1.0,11.0,1.0,0.0,0.396,0
43,3.5,55312.0,grocery,24.0,city_D,mobile,credit,offline,0.0,143.14,3291.0,2.0,23.0,0.0,0.0,0.78,0
44,240.04,10561.0,fashion,53.0,city_A,,debit,offline,0.0,118.57,2823.0,1.0,11.0,1.0,0.0,0.072,0
45,29.95,,grocery,52.0,city_C,desktop,credit,online,1.0,189.69,3116.0,,19.0,0.0,0.0,0.653,0
46,108.63,62875.0,food,32.0,city_C,tablet,credit,offline,0.0,37.75,1177.0,5.0,17.0,0.0,0.0,0.449,0
47,37.35,,food,,,mobile,debit,online,1.0,99.26,3381.0,1.0,19.0,0.0,0.0,0.335,0
48,73.41,62120.0,travel,20.0,city_B,mobile,,offline,0.0,233.75,3014.0,1.0,19.0,0.0,1.0,0.928,0
49,79.12,1988.0,travel,46.0,city_C,mobile,credit,offline,0.0,117.5,988.0,2.0,18.0,0.0,0.0,0.778,0
50,20.44,14256.0,travel,47.0,city_A,mobile,credit,online,0.0,,77.0,2.0,21.0,0.0,0.0,0.219,0
51,349.28,28230.0,food,56.0,city_C,desktop,credit,online,0.0,178.96,2266.0,7.0,21.0,0.0,1.0,0.652,0
52,149.22,59778.0,electronics,35.0,city_D,tablet,debit,online,0.0,182.43,2381.0,4.0,22.0,0.0,0.0,,0
53,280.51,45833.0,food,28.0,city_C,mobile,credit,offline,0.0,54.92,1612.0,2.0,18.0,0.0,0.0,0.989,0
54,,22625.0,,60.0,city_A,desktop,,offline,0.0,141.4,3206.0,2.0,15.0,0.0,0.0,0.698,0
55,91.11,32088.0,food,66.0,city_C,,credit,online,0.0,207.79,2446.0,2.0,17.0,0.0,0.0,0.691,0
56,254.94,79650.0,food,55.0,city_D,mobile,credit,online,0.0,87.85,3602.0,1.0,13.0,0.0,1.0,0.613,0
57,9.27,41167.0,grocery,57.0,city_D,mobile,credit,online,0.0,101.38,489.0,3.0,16.0,0.0,0.0,,0
58,21.81,71291.0,grocery,18.0,city_C,mobile,credit,offline,0.0,121.44,2324.0,3.0,16.0,0.0,0.0,0.585,0
59,4.63,65303.0,grocery,46.0,city_C,desktop,credit,offline,0.0,154.72,2341.0,4.0,22.0,0.0,,0.805,0
60,39.35,76361.0,food,,city_D,tablet,debit,,0.0,48.62,1259.0,3.0,18.0,0.0,0.0,0.395,0
61,49.21,4117.0,electronics,45.0,city_D,desktop,debit,online,2.0,-35.63,1560.0,7.0,15.0,0.0,0.0,0.587,0
62,,60710.0,,48.0,city_B,desktop,debit,online,0.0,130.77,559.0,0.0,12.0,0.0,0.0,0.926,0
63,176.46,67054.0,fashion,36.0,city_B,desktop,credit,offline,0.0,178.29,1417.0,3.0,14.0,0.0,0.0,0.172,0
64,44.12,30949.0,electronics,20.0,city_D,mobile,debit,online,0.0,104.4,2827.0,4.0,7.0,0.0,0.0,0.28,0
65,32.98,22547.0,electronics,53.0,city_C,tablet,,online,0.0,89.48,1393.0,3.0,22.0,0.0,1.0,0.11,0
66,78.24,81882.0,fashion,60.0,city_A,mobile,credit,online,0.0,111.65,436.0,8.0,16.0,0.0,1.0,0.5,0
